і, TFIDF: 0, DE: 0.890965102174813
не, TFIDF: 0, DE: 1.1881826806741
з, TFIDF: 0, DE: 1.16569797105846
через, TFIDF: 0, DE: 1.10914743572251
в, TFIDF: 0, DE: 1.1271787235762
у, TFIDF: 0, DE: 1.27399254799336
на, TFIDF: 0, DE: 1.03598782740293
та, TFIDF: 0, DE: 1.15102286200046
за, TFIDF: 0, DE: 1.05292901338739
про, TFIDF: 0, DE: 1.73156618045725
може, TFIDF: 0.0609086508058652, DE: 1.64520205353854
один, TFIDF: 0, DE: 0.995487026751458
ще, TFIDF: 0, DE: 1.16464173438255
до, TFIDF: 0, DE: 1.35810565854681
що, TFIDF: 0, DE: 1.27731814670976
те, TFIDF: 0, DE: 1.95950455238686
це, TFIDF: 0, DE: 1.48064990202557
проти, TFIDF: 0.0609086508058652, DE: 0.610886891785453
яку, TFIDF: 0, DE: 0
кілька, TFIDF: 0, DE: 0.700607730714721
полі, TFIDF: 0.598577884910495, DE: 0
встигне, TFIDF: 0.367016349784356, DE: 0
провів, TFIDF: 0.598577884910495, DE: 0
україни, TFIDF: 0, DE: 0
раніше, TFIDF: 0, DE: 0
