води, TFIDF: 0.069695588928226, DE: 0
бути, TFIDF: 0.0374578361179797, DE: 1.20255778219016
болі, TFIDF: 0.034847794464113, DE: 0
людини, TFIDF: 0.069695588928226, DE: 0.183784003676547
ви, TFIDF: 0.0741453191290594, DE: 1.89699276537409
вдома, TFIDF: 0.0435597430801413, DE: 0
людина, TFIDF: 0.074783895724085, DE: 0.433976512413114
крові, TFIDF: 0.0609836403121978, DE: 0.881755899517889
страх, TFIDF: 0.0373919478620425, DE: 0
вам, TFIDF: 0.0435597430801413, DE: 0.652372494290789
грудей, TFIDF: 0.0522716916961695, DE: 0
сіль, TFIDF: 0.0522716916961695, DE: 0
дитини, TFIDF: 0.0784075375442543, DE: 0
тіло, TFIDF: 0.034847794464113, DE: 0
зуби, TFIDF: 0.226510664016735, DE: 0
мозок, TFIDF: 0.0522716916961695, DE: 0
