динамо, TFIDF: 0.278740746406081, DE: 0.550217044297266
лє, TFIDF: 0.185827164270721, DE: 0
фіналу, TFIDF: 0.511024701744482, DE: 0.159574468085106
ліги, TFIDF: 0.557481492812163, DE: 0.159574468085106
європи, TFIDF: 0.484242467476672, DE: 0.202826340052528
олімпіакоса, TFIDF: 0.0929135821353604, DE: 0
зображенням, TFIDF: 0.0929135821353604, DE: 0
києві, TFIDF: 0.053915820118922, DE: 0
відео, TFIDF: 0.0569697020560791, DE: 0
матчі, TFIDF: 0.232283955338401, DE: 0
поєдинок, TFIDF: 0.0929135821353604, DE: 0
шахтар, TFIDF: 0.0929135821353604, DE: 0
лізі, TFIDF: 0.139370373203041, DE: 0
головний, TFIDF: 0.0569697020560791, DE: 0
тренер, TFIDF: 0.278740746406081, DE: 0
олександр, TFIDF: 0.0735903769187922, DE: 0
хацкевич, TFIDF: 0.232283955338401, DE: 0
